Passing Yards,Interceptions,Sack Yards Lost,Adjusted QBR,Completions,Intentional Grounding,Offensive Holding,Offensive Pass Interference
3607,6,343,201.5,321,0,17,2
4110,5,319,71.5,341,0,19,0
4245,13,304,71.0,388,3,7,0
3815,7,383,112.4,324,0,6,1
4282,12,348,62.8,399,4,10,4
4167,12,257,117.89999999999999,371,3,15,1
4379,16,359,157.1,413,3,27,3
3994,13,237,118.1,330,0,15,2
4320,17,287,136.3,371,0,16,0
4437,14,216,197.2,343,0,12,0
4015,9,193,182.6,337,0,19,0
4577,12,193,128.4,336,0,9,0
4424,16,190,141.8,349,0,25,3
5127,30,282,88.1,382,4,18,2
4776,12,150,119.1,410,2,9,2
5383,12,154,109.69999999999999,492,0,8,1
4746,10,160,116.2,499,0,15,2
4044,10,232,57.1,364,0,19,2
4505,16,248,151.0,408,0,21,1
3956,8,374,99.7,297,0,13,0
3826,7,173,137.7,316,0,6,0
3745,14,327,145.39999999999998,359,0,3,2
3227,11,313,162.5,285,0,16,0
3512,11,445,185.1,304,0,5,1
3621,21,304,87.39999999999999,336,0,27,2
3205,13,393,188.4,298,0,27,1
3796,16,331,204.8,389,0,7,0
3733,15,303,120.7,353,0,5,0
3783,16,311,129.2,344,0,9,0
4174,21,449,141.1,407,0,9,2
3932,9,267,163.79999999999998,365,0,22,0
