Name,Position,Team,Penalty Count,Yards,Declined,Offsetting,Total Flags,Pre-Snap,Count per Game,Yards per Game,Percent of Team,Penalty Types,Year
L.Tunsil,OL,Houston,15,80,3,0,18,12,0.83,4.44,14.75,"False Start (12), Offensive Holding (3), Ineligible Downfield Pass (3)",2019
G.Bolles,OL,Denver,10,95,6,1,17,2,0.63,5.94,15.32,"Offensive Holding (13), False Start (2), Unnecessary Roughness (1), Illegal Block Above the Waist (1)",2019
J.Taylor,OL,Jacksonville,15,120,0,0,15,5,0.94,7.5,11.36,"Offensive Holding (9), False Start (5), Ineligible Downfield Pass (1)",2019
A.Whitworth,OL,LA Rams,13,125,1,0,14,1,0.81,7.81,11.86,"Offensive Holding (10), Illegal Use of Hands (2), False Start (1), Illegal Block Above the Waist (1)",2019
D.Humphries,OL,Arizona,12,82,1,0,13,5,0.75,5.13,10.74,"False Start (5), Offensive Holding (5), Illegal Block Above the Waist (2), Ineligible Downfield Pass (1)",2019
G.Ifedi,T,Seattle,12,80,0,1,13,7,0.67,4.44,10.32,"False Start (7), Offensive Holding (5), Ineligible Downfield Pass (1)",2019
M.Humphrey,DB,Baltimore,9,89,2,2,13,1,0.53,5.24,11.21,"Defensive Holding (6), Unnecessary Roughness (2), Defensive Pass Interference (2), Offensive Holding (1), Illegal Contact (1), Defensive Offside (1)",2019
C.Leno,T,Chicago,12,99,1,0,13,3,0.75,6.19,12.62,"Offensive Holding (7), False Start (3), Illegal Use of Hands (2), Ineligible Downfield Pass (1)",2019
D.Bakhtiari,OL,Green Bay,12,94,0,0,12,5,0.67,5.22,10.91,"Offensive Holding (6), False Start (5), Illegal Use of Hands (1)",2019
B.Linder,OL,Jacksonville,10,89,2,0,12,1,0.63,5.56,9.09,"Offensive Holding (8), Ineligible Downfield Pass (2), False Start (1), Illegal Block Above the Waist (1)",2019
C.Davis,DB,Tampa Bay,9,111,3,0,12,0,0.56,6.94,8.96,"Defensive Pass Interference (5), Defensive Holding (4), Face Mask (15 Yards) (1), Illegal Use of Hands (1), Disqualification (1)",2019
G.Robinson,T,Cleveland,10,95,2,0,12,3,0.63,5.94,9.84,"Offensive Holding (6), False Start (3), Ineligible Downfield Pass (1), Disqualification (1), Illegal Blindside Block (1)",2019
B.Breeland,CB,Kansas City,9,102,3,0,12,0,0.47,5.37,9.68,"Defensive Holding (7), Defensive Pass Interference (4), Illegal Use of Hands (1)",2019
A.Lucas,T,Seattle,11,63,0,0,11,8,0.61,3.5,8.73,"Delay of Game (6), Illegal Formation (2), Unsportsmanlike Conduct (1), Defensive Too Many Men on Field (1), Illegal Double-Team Block (1)",2019
M.Moses,T,Washington,9,65,2,0,11,5,0.56,4.06,10.38,"Offensive Holding (6), False Start (5)",2019
T.Decker,OL,Detroit,9,74,1,1,11,3,0.56,4.63,9.73,"Offensive Holding (8), False Start (3)",2019
C.Robinson,OL,Jacksonville,10,67,0,1,11,4,0.63,4.19,8.33,"Offensive Holding (5), False Start (4), Illegal Use of Hands (1), Ineligible Downfield Pass (1)",2019
D.Dawkins,OL,Buffalo,7,54,1,3,11,3,0.41,3.18,8.87,"Offensive Holding (7), False Start (3), Illegal Block Above the Waist (1)",2019
E.Apple,CB,New Orleans,8,91,1,2,11,0,0.47,5.35,8.73,"Defensive Pass Interference (5), Defensive Holding (3), Unnecessary Roughness (1), Illegal Contact (1), Illegal Block Above the Waist (1)",2019
S.Barrett,LB,Tampa Bay,10,54,1,0,11,10,0.63,3.38,8.21,"Neutral Zone Infraction (5), Defensive Offside (5), Face Mask (15 Yards) (1)",2019
D.Dotson,T,Tampa Bay,10,71,0,0,10,5,0.63,4.44,7.46,"False Start (5), Offensive Holding (5)",2019
X.Rhodes,CB,Minnesota,8,139,1,1,10,0,0.44,7.72,9.8,"Defensive Pass Interference (4), Defensive Holding (3), Unnecessary Roughness (1), Illegal Contact (1), Horse Collar Tackle (1)",2019
T.Lewan,OL,Tennessee,10,74,0,0,10,4,0.53,3.89,8.55,"False Start (4), Offensive Holding (3), Unnecessary Roughness (1), Face Mask (15 Yards) (1), Ineligible Downfield Pass (1)",2019
A.Villanueva,T,Pittsburgh,7,55,3,0,10,2,0.44,3.44,9.01,"Offensive Holding (7), False Start (2), Ineligible Downfield Pass (1)",2019
R.Douglas,CB,Philadelphia,7,68,3,0,10,0,0.41,4,9.26,"Defensive Pass Interference (4), Defensive Holding (4), Offensive Holding (1), Roughing the Passer (1)",2019
B.Hart,T,Cincinnati,7,50,3,0,10,5,0.44,3.13,10.75,"False Start (4), Illegal Use of Hands (2), Offensive Holding (1), Unsportsmanlike Conduct (1), Illegal Formation (1), Disqualification (1)",2019
T.Scott,T,LA Chargers,8,60,2,0,10,5,0.5,3.75,9.71,"False Start (4), Offensive Holding (4), Unnecessary Roughness (1), Illegal Formation (1)",2019
J.Phillips,DL,Buffalo,9,54,1,0,10,6,0.53,3.18,8.06,"Defensive Offside (5), Unnecessary Roughness (1), Roughing the Passer (1), Illegal Use of Hands (1), Unsportsmanlike Conduct (1), Encroachment (1)",2019
M.Glowinski,G,Indianapolis,10,68,0,0,10,4,0.63,4.25,12.66,"False Start (4), Offensive Holding (3), Ineligible Downfield Pass (2), Illegal Use of Hands (1)",2019
D.Penn,T,Washington,7,56,3,0,10,3,0.44,3.5,9.43,"Offensive Holding (6), False Start (3), Chop Block (1)",2019
L.Johnson,DB,Houston,8,103,1,1,10,1,0.44,5.72,8.2,"Defensive Pass Interference (4), Defensive Holding (4), Illegal Use of Hands (1), Illegal Formation (1)",2019
T.Mullen,CB,Las Vegas,8,85,1,1,10,0,0.5,5.31,7.75,"Defensive Holding (5), Defensive Pass Interference (4), Unnecessary Roughness (1)",2019
N.Needham,DB,Miami,6,44,4,0,10,0,0.38,2.75,10.87,"Defensive Pass Interference (4), Defensive Holding (3), Illegal Use of Hands (2), Illegal Contact (1)",2019
L.Smith,TE,Buffalo,8,51,1,0,9,5,0.47,3,7.26,"False Start (5), Offensive Holding (4)",2019
T.Kelce,TE,Kansas City,7,60,1,1,9,3,0.37,3.16,7.26,"Offensive Pass Interference (3), False Start (2), Offensive Holding (2), Illegal Block Above the Waist (1), Illegal Formation (1)",2019
B.Scherff,G,Washington,8,65,1,0,9,2,0.5,4.06,8.49,"Offensive Holding (6), False Start (2), Unsportsmanlike Conduct (1)",2019
J.Peters,T,Philadelphia,9,55,0,0,9,5,0.53,3.24,8.33,"False Start (5), Ineligible Downfield Pass (2), Offensive Holding (1), Illegal Block Above the Waist (1)",2019
K.Beachum,T,N.Y. Jets,7,63,2,0,9,0,0.44,3.94,7.76,"Offensive Holding (7), Illegal Block Above the Waist (1), Illegal Use of Hands (1)",2019
T.Watt,LB,Pittsburgh,8,60,1,0,9,7,0.5,3.75,8.11,"Neutral Zone Infraction (6), Roughing the Passer (2), Defensive Offside (1)",2019
L.Ryan,CB,Tennessee,6,94,3,0,9,0,0.32,4.95,7.69,"Defensive Pass Interference (4), Defensive Holding (3), Illegal Contact (2)",2019
D.Barnett,DL,Philadelphia,8,65,0,1,9,4,0.47,3.82,8.33,"Defensive Offside (4), Unnecessary Roughness (3), Illegal Use of Hands (1), Defensive Holding (1)",2019
T.Herndon,DB,Jacksonville,6,56,3,0,9,0,0.38,3.5,6.82,"Defensive Pass Interference (5), Illegal Use of Hands (2), Illegal Contact (1), Defensive Holding (1)",2019
R.Sherman,CB,San Francisco,7,100,1,1,9,0,0.37,5.26,7.69,"Defensive Pass Interference (4), Defensive Holding (3), Unnecessary Roughness (1), Illegal Contact (1)",2019
I.Oliver,DB,Atlanta,8,120,1,0,9,1,0.5,7.5,7.56,"Defensive Pass Interference (5), Offensive Holding (1), Illegal Contact (1), Defensive Offside (1), Defensive Holding (1)",2019
G.Williams,DB,Cleveland,8,96,1,0,9,0,0.5,6,7.38,"Defensive Pass Interference (3), Offensive Holding (2), Illegal Use of Hands (2), Defensive Holding (2)",2019
J.Coleman,CB,Detroit,5,51,3,1,9,0,0.31,3.19,7.96,"Defensive Pass Interference (3), Defensive Holding (3), Unnecessary Roughness (1), Illegal Contact (1), Illegal Block Above the Waist (1)",2019
D.Baker,DB,N.Y. Giants,8,116,1,0,9,0,0.5,7.25,10,"Defensive Pass Interference (5), Defensive Holding (2), Illegal Contact (1), Unsportsmanlike Conduct (1)",2019
M.Iupati,G,Seattle,6,50,1,2,9,2,0.33,2.78,7.14,"Offensive Holding (7), False Start (2)",2019
J.Moreland,CB,Washington,8,48,1,0,9,1,0.5,3,8.49,"Offensive Holding (2), Defensive Pass Interference (1), Illegal Contact (1), Defensive Offside (1), Roughing the Kicker (1), Defensive Holding (1), Illegal Touch Kick (1), Lowering the Head to Initiate Contact (1)",2019
L.Joyner,CB,Las Vegas,7,46,2,0,9,1,0.44,2.88,6.98,"Defensive Holding (6), Defensive Pass Interference (2), Defensive Offside (1)",2019
E.Wilkinson,T,Denver,6,50,2,1,9,3,0.38,3.13,8.11,"Offensive Holding (6), False Start (2), Illegal Formation (1)",2019
R.Ya-Sin,CB,Indianapolis,8,91,1,0,9,0,0.5,5.69,11.39,"Defensive Holding (5), Defensive Pass Interference (3), Illegal Contact (1)",2019
B.Murphy,DB,Arizona,7,79,2,0,9,1,0.44,4.94,7.44,"Defensive Pass Interference (4), Defensive Holding (3), Illegal Contact (1), Neutral Zone Infraction (1)",2019
M.Bennett,DE,Dallas,8,36,1,0,9,8,0.5,2.25,8.26,"Defensive Offside (5), Neutral Zone Infraction (2), Illegal Use of Hands (1), Encroachment (1)",2019
V.Miller,LB,Denver,7,45,1,0,8,5,0.44,2.81,7.21,"Defensive Offside (4), Roughing the Passer (1), Illegal Use of Hands (1), Encroachment (1), Defensive Holding (1)",2019
K.Fuller,CB,Chicago,8,50,0,0,8,0,0.5,3.13,7.77,"Defensive Pass Interference (3), Defensive Holding (3), Unnecessary Roughness (1), Illegal Contact (1)",2019
D.Smith,OL,Tampa Bay,5,40,3,0,8,2,0.31,2.5,5.97,"Offensive Holding (5), False Start (2), Illegal Use of Hands (1)",2019
N.Boyle,TE,Baltimore,7,49,1,0,8,2,0.41,2.88,6.9,"Offensive Holding (5), False Start (2), Ineligible Downfield Pass (1)",2019
D.Roberts,CB,N.Y. Jets,7,89,1,0,8,1,0.44,5.56,6.9,"Defensive Pass Interference (4), Offensive Holding (1), Illegal Use of Hands (1), Defensive Holding (1), Neutral Zone Infraction (1)",2019
R.Havenstein,OL,LA Rams,8,62,0,0,8,4,0.5,3.88,6.78,"False Start (4), Offensive Holding (3), Unnecessary Roughness (1)",2019
Tyr.Smith,OL,Dallas,7,65,0,1,8,1,0.44,4.06,7.34,"Offensive Holding (6), False Start (1), Tripping (1)",2019
M.Jack,LB,Jacksonville,5,68,1,2,8,0,0.31,4.25,6.06,"Defensive Pass Interference (2), Face Mask (15 Yards) (2), Illegal Contact (1), Illegal Forward Pass (1), Disqualification (1), Lowering the Head to Initiate Contact (1)",2019
R.Anderson,DE,Washington,6,60,2,0,8,4,0.38,3.75,7.55,"Roughing the Passer (2), Defensive Offside (2), Neutral Zone Infraction (2), Illegal Use of Hands (1), Disqualification (1)",2019
R.Reiff,T,Minnesota,7,60,1,0,8,2,0.39,3.33,7.84,"Offensive Holding (5), False Start (2), Illegal Block Above the Waist (1)",2019
R.Leary,G,Denver,7,55,1,0,8,2,0.44,3.44,7.21,"Offensive Holding (6), False Start (2)",2019
P.Elflein,G,Minnesota,6,50,2,0,8,2,0.33,2.78,7.84,"Offensive Holding (6), False Start (2)",2019
M.Garrett,DL,Cleveland,6,56,1,1,8,4,0.38,3.5,6.56,"Defensive Offside (4), Roughing the Passer (2), Unnecessary Roughness (1), Disqualification (1)",2019
D.Feeney,G,LA Chargers,7,49,1,0,8,4,0.44,3.06,7.77,"False Start (4), Offensive Holding (4)",2019
A.Norwell,OL,Jacksonville,6,45,1,1,8,3,0.38,2.81,6.06,"Offensive Holding (5), False Start (3)",2019
T.Flowers,CB,Seattle,7,86,1,0,8,0,0.39,4.78,6.35,"Defensive Pass Interference (5), Illegal Contact (1), Illegal Use of Hands (1), Defensive Holding (1)",2019
C.Hubbard,OL,Cleveland,8,56,0,0,8,3,0.5,3.5,6.56,"Offensive Holding (4), False Start (3), Ineligible Downfield Pass (1)",2019
Z.Fulton,G,Houston,7,50,1,0,8,4,0.39,2.78,6.56,"False Start (4), Offensive Holding (4)",2019
B.O'Neill,OL,Minnesota,6,40,1,1,8,4,0.33,2.22,7.84,"False Start (4), Offensive Holding (4)",2019
J.Sprinkle,TE,Washington,7,55,1,0,8,3,0.44,3.44,7.55,"Offensive Holding (4), False Start (3), Offensive Pass Interference (1)",2019
D.Fowler,LB,LA Rams,6,35,2,0,8,5,0.38,2.19,6.78,"Defensive Offside (4), Illegal Block Above the Waist (1), Illegal Use of Hands (1), Defensive Holding (1), Neutral Zone Infraction (1)",2019
C.Ward,CB,Kansas City,8,66,0,0,8,0,0.42,3.47,6.45,"Defensive Holding (7), Defensive Pass Interference (1)",2019
A.Reiter,OL,Kansas City,6,65,1,1,8,0,0.32,3.42,6.45,"Offensive Holding (6), Ineligible Downfield Pass (1), Illegal Blindside Block (1)",2019
E.Rowe,DB,Miami,7,44,1,0,8,1,0.44,2.75,8.7,"Defensive Holding (4), Defensive Pass Interference (1), Illegal Contact (1), Neutral Zone Infraction (1), Lowering the Head to Initiate Contact (1)",2019
G.McCoy,DT,Carolina,8,70,0,0,8,5,0.5,4.38,9.2,"Neutral Zone Infraction (3), Defensive Offside (2), Roughing the Passer (2), Unnecessary Roughness (1)",2019
J.Clowney,DE,Seattle,8,49,0,0,8,7,0.44,2.72,6.35,"Neutral Zone Infraction (6), Roughing the Passer (1), Defensive Offside (1)",2019
C.Gardner-Johnson,DB,New Orleans,8,46,0,0,8,0,0.47,2.71,6.35,"Defensive Holding (3), Defensive Pass Interference (2), Unnecessary Roughness (1), Illegal Use of Hands (1), Roughing the Kicker (1)",2019
N.Fant,TE,Denver,7,58,1,0,8,2,0.44,3.63,7.21,"Offensive Holding (4), False Start (2), Offensive Pass Interference (1), Illegal Block Above the Waist (1)",2019
G.Bradbury,OL,Minnesota,7,70,1,0,8,0,0.39,3.89,7.84,"Offensive Holding (6), Ineligible Downfield Pass (1), Illegal Blindside Block (1)",2019
C.Ford,OL,Buffalo,7,70,1,0,8,1,0.41,4.12,6.45,"Offensive Holding (5), False Start (1), Unnecessary Roughness (1), Illegal Use of Hands (1)",2019
E.McCoy,OL,New Orleans,8,70,0,0,8,2,0.47,4.12,6.35,"Offensive Holding (5), False Start (2), Tripping (1)",2019
E.Jenkins,OL,Green Bay,8,65,0,0,8,3,0.44,3.61,7.27,"Offensive Holding (5), False Start (3)",2019
J.Webb,T,Miami,5,42,3,0,8,1,0.31,2.63,8.7,"Offensive Holding (7), False Start (1)",2019
R.Incognito,G,Las Vegas,6,55,1,1,8,3,0.38,3.44,6.2,"False Start (3), Unnecessary Roughness (2), Offensive Holding (2), Chop Block (1)",2019
N.Davis,OL,Tennessee,7,48,0,1,8,5,0.37,2.53,6.84,"False Start (5), Face Mask (15 Yards) (1), Offensive Holding (1), Illegal Use of Hands (1)",2019
D.Edwards,OL,LA Rams,7,61,1,0,8,2,0.44,3.81,6.78,"Offensive Holding (5), False Start (2), Ineligible Downfield Pass (1)",2019
E.Griffen,DE,Minnesota,7,42,0,0,7,5,0.39,2.33,6.86,"Neutral Zone Infraction (4), Roughing the Passer (1), Illegal Use of Hands (1), Defensive Offside (1)",2019
J.Edelman,WR,New England,7,60,0,0,7,2,0.41,3.53,7.22,"False Start (2), Offensive Pass Interference (2), Illegal Block Above the Waist (2), Offensive Holding (1)",2019
D.Slay,CB,Detroit,6,62,1,0,7,0,0.38,3.88,6.19,"Defensive Holding (4), Defensive Pass Interference (3)",2019
J.Matthews,OL,Atlanta,7,55,0,0,7,2,0.44,3.44,5.88,"False Start (2), Offensive Holding (2), Illegal Block Above the Waist (1), Illegal Use of Hands (1), Ineligible Downfield Pass (1)",2019
D.Lawrence,DL,Dallas,7,74,0,0,7,3,0.44,4.63,6.42,"Defensive Offside (3), Roughing the Passer (2), Unnecessary Roughness (1), Unsportsmanlike Conduct (1)",2019
A.Mack,C,Atlanta,7,65,0,0,7,2,0.44,4.06,5.88,"Offensive Holding (3), False Start (2), Unnecessary Roughness (1), Clipping (1)",2019
J.Conklin,T,Tennessee,6,49,1,0,7,2,0.32,2.58,5.98,"Offensive Holding (4), False Start (2), Illegal Block Above the Waist (1)",2019
M.Thomas,WR,New Orleans,6,73,1,0,7,1,0.35,4.29,5.56,"Offensive Pass Interference (3), False Start (1), Face Mask (15 Yards) (1), Offensive Holding (1), Illegal Block Above the Waist (1)",2019
C.Jones,DL,Kansas City,7,51,0,0,7,2,0.37,2.68,5.65,"Defensive Holding (2), Unnecessary Roughness (1), Roughing the Passer (1), Illegal Use of Hands (1), Illegal Formation (1), Neutral Zone Infraction (1)",2019
M.Collins,DT,Dallas,6,24,1,0,7,5,0.38,1.5,6.42,"Neutral Zone Infraction (3), Defensive Offside (2), Unnecessary Roughness (1), Horse Collar Tackle (1)",2019
T.White,DB,Buffalo,7,59,0,0,7,0,0.41,3.47,5.65,"Defensive Pass Interference (4), Illegal Contact (2), Defensive Holding (1)",2019
D.Wise,DL,New England,6,70,0,1,7,1,0.35,4.12,7.22,"Roughing the Passer (3), Illegal Use of Hands (2), Defensive Offside (1), Horse Collar Tackle (1)",2019
C.Campbell,DE,Jacksonville,7,73,0,0,7,3,0.44,4.56,5.3,"Roughing the Passer (2), Unsportsmanlike Conduct (2), Defensive Offside (1), Encroachment (1), Neutral Zone Infraction (1)",2019
C.Erving,T,Kansas City,4,30,3,0,7,2,0.21,1.58,5.65,"Offensive Holding (4), False Start (2), Illegal Block Above the Waist (1)",2019
D.Jackson,DB,Carolina,4,42,2,1,7,3,0.25,2.63,8.05,"Defensive Pass Interference (3), Defensive Offside (2), Defensive Holding (1), Illegal Formation (1)",2019
M.Butler,CB,Tennessee,6,58,1,0,7,0,0.32,3.05,5.98,"Defensive Pass Interference (2), Offensive Holding (2), Face Mask (15 Yards) (1), Unsportsmanlike Conduct (1), Defensive Holding (1)",2019
J.Jackson,DB,New England,6,74,1,0,7,0,0.35,4.35,7.22,"Defensive Pass Interference (5), Illegal Contact (1), Defensive Holding (1)",2019
D.Fluker,G,Seattle,5,45,1,1,7,1,0.28,2.5,5.56,"Offensive Holding (6), False Start (1)",2019
A.Lynch,OLB,Chicago,6,29,1,0,7,7,0.38,1.81,6.8,"Neutral Zone Infraction (4), Defensive Offside (3)",2019
J.Perry,DB,Miami,4,32,3,0,7,0,0.25,2,7.61,"Defensive Holding (3), Defensive Pass Interference (1), Face Mask (15 Yards) (1), Illegal Block Above the Waist (1), Illegal Use of Hands (1)",2019
J.Carpenter,G,Atlanta,6,50,1,0,7,1,0.38,3.13,5.88,"Offensive Holding (5), False Start (1), Ineligible Downfield Pass (1)",2019
S.Richardson,DT,Cleveland,6,57,1,0,7,3,0.38,3.56,5.74,"Roughing the Passer (3), Defensive Offside (2), Unsportsmanlike Conduct (1), Neutral Zone Infraction (1)",2019
J.Sweezy,G,Arizona,7,45,0,0,7,0,0.44,2.81,5.79,"Offensive Holding (6), Ineligible Downfield Pass (1)",2019
D.Virgin,CB,Detroit,7,65,0,0,7,1,0.44,4.06,6.19,"Offensive Holding (3), Illegal Block Above the Waist (2), False Start (1), Unsportsmanlike Conduct (1)",2019
D.Johnson,WR,Pittsburgh,7,60,0,0,7,3,0.44,3.75,6.31,"False Start (3), Offensive Pass Interference (3), Unnecessary Roughness (1)",2019
C.Ferrell,DL,Las Vegas,7,35,0,0,7,7,0.44,2.19,5.43,"Defensive Offside (4), Neutral Zone Infraction (3)",2019
R.Cockrell,DB,Carolina,6,52,0,1,7,0,0.38,3.25,8.05,"Defensive Pass Interference (2), Offensive Holding (2), Illegal Contact (1), Illegal Block Above the Waist (1), Lowering the Head to Initiate Contact (1)",2019
T.Crosby,OL,Detroit,6,52,1,0,7,2,0.38,3.25,6.19,"Offensive Holding (5), False Start (1), Illegal Formation (1)",2019
Z.Smith,LB,Green Bay,6,52,1,0,7,2,0.33,2.89,6.36,"Illegal Use of Hands (2), Neutral Zone Infraction (2), Unnecessary Roughness (1), Offensive Holding (1), Roughing the Passer (1)",2019
N.Lawson,CB,Las Vegas,7,83,0,0,7,1,0.44,5.19,5.43,"Defensive Pass Interference (2), False Start (1), Offensive Holding (1), Illegal Use of Hands (1), Defensive Holding (1), Disqualification (1)",2019
B.Bulaga,T,Green Bay,5,35,1,0,6,3,0.28,1.94,5.45,"False Start (3), Offensive Holding (3)",2019
C.Jordan,DL,New Orleans,5,39,0,1,6,2,0.29,2.29,4.76,"Illegal Use of Hands (2), Defensive Offside (2), Unnecessary Roughness (1), Illegal Block Above the Waist (1)",2019
J.Hughes,DE,Buffalo,6,39,0,0,6,3,0.35,2.29,4.84,"Neutral Zone Infraction (3), Unnecessary Roughness (1), Illegal Use of Hands (1), Unsportsmanlike Conduct (1)",2019
T.Armstead,T,New Orleans,6,55,0,0,6,1,0.35,3.24,4.76,"Offensive Holding (5), False Start (1)",2019
J.Winston,QB,Tampa Bay,6,56,0,0,6,1,0.38,3.5,4.48,"Intentional Grounding (4), False Start (1), Illegal Forward Pass (1)",2019
J.Bradberry,CB,Carolina,4,76,1,1,6,0,0.25,4.75,6.9,"Defensive Pass Interference (4), Illegal Contact (1), Defensive Holding (1)",2019
J.Jenkins,DB,N.Y. Giants,6,50,0,0,6,0,0.38,3.13,6.67,"Defensive Holding (4), Defensive Pass Interference (1), Illegal Use of Hands (1)",2019
R.Kelly,OL,Indianapolis,5,30,0,1,6,3,0.31,1.88,7.59,"False Start (3), Offensive Holding (2), Ineligible Downfield Pass (1)",2019
C.Harris,CB,Denver,5,29,0,1,6,0,0.31,1.81,5.41,"Defensive Holding (3), Defensive Pass Interference (2), Illegal Use of Hands (1)",2019
I.Seumalo,OL,Philadelphia,6,45,0,0,6,3,0.35,2.65,5.56,"False Start (3), Offensive Holding (3)",2019
L.Warford,G,New Orleans,4,25,2,0,6,3,0.24,1.47,4.76,"False Start (3), Offensive Holding (3)",2019
R.Ramczyk,OL,New Orleans,4,30,2,0,6,2,0.24,1.76,4.76,"Offensive Holding (4), False Start (2)",2019
J.Adams,SS,N.Y. Jets,6,63,0,0,6,2,0.38,3.94,5.17,"Roughing the Passer (2), Unnecessary Roughness (1), Defensive Pass Interference (1), Defensive Offside (1), Encroachment (1)",2019
S.Gilmore,CB,New England,5,25,1,0,6,0,0.29,1.47,6.19,"Defensive Holding (4), Defensive Pass Interference (1), Illegal Use of Hands (1)",2019
R.Okung,T,LA Chargers,5,40,1,0,6,2,0.31,2.5,5.83,"Offensive Holding (4), False Start (2)",2019
J.Smith,TE,Tennessee,6,56,0,0,6,1,0.32,2.95,5.13,"Offensive Holding (3), Illegal Double-Team Block (2), False Start (1)",2019
L.Ogunjobi,DT,Cleveland,4,40,1,1,6,2,0.25,2.5,4.92,"Roughing the Passer (2), Illegal Use of Hands (1), Defensive Offside (1), Encroachment (1), Disqualification (1)",2019
M.Lattimore,DB,New Orleans,5,61,0,1,6,0,0.29,3.59,4.76,"Defensive Holding (3), Defensive Pass Interference (2), Unnecessary Roughness (1)",2019
M.Davis,DB,LA Chargers,6,54,0,0,6,0,0.38,3.38,5.83,"Defensive Pass Interference (4), Defensive Holding (2)",2019
C.Jones,LB,Arizona,6,50,0,0,6,3,0.38,3.13,4.96,"Defensive Offside (2), Unnecessary Roughness (1), Roughing the Passer (1), Horse Collar Tackle (1), Neutral Zone Infraction (1)",2019
T.Moton,OL,Carolina,4,30,1,1,6,3,0.25,1.88,6.9,"Offensive Holding (3), False Start (2), Illegal Formation (1)",2019
T.Brown,DB,Green Bay,5,30,1,0,6,2,0.28,1.67,5.45,"Defensive Offside (1), Illegal Formation (1), Offside on Free Kick (1), Fair Catch Interference (1), Illegal Blindside Block (1), Player Out of Bounds on Kick (1)",2019
R.Gage,WR,Atlanta,6,33,0,0,6,4,0.38,2.06,5.04,"False Start (2), Illegal Block Above the Waist (1), Defensive Offside (1), Offside on Free Kick (1), Neutral Zone Infraction (1)",2019
C.Williams,G,Dallas,5,35,0,1,6,3,0.31,2.19,5.5,"False Start (3), Offensive Holding (3)",2019
B.Bozeman,OL,Baltimore,4,24,2,0,6,3,0.24,1.41,5.17,"False Start (3), Offensive Holding (1), Illegal Block Above the Waist (1), Illegal Touch Pass (1)",2019
D.Ward,DB,Cleveland,5,89,1,0,6,0,0.31,5.56,4.92,"Defensive Pass Interference (3), Defensive Holding (3)",2019
J.Hankins,DL,Las Vegas,5,35,0,1,6,3,0.31,2.19,4.65,"Encroachment (3), Defensive Holding (2), Unnecessary Roughness (1)",2019
M.McGlinchey,OL,San Francisco,6,29,0,0,6,5,0.32,1.53,5.13,"False Start (4), Offensive Holding (1), Illegal Formation (1)",2019
W.Richardson,OL,Jacksonville,4,30,1,1,6,2,0.25,1.88,4.55,"Offensive Holding (4), False Start (2)",2019
K.Boyd,DB,Minnesota,4,42,1,1,6,0,0.22,2.33,5.88,"Offensive Holding (2), Unnecessary Roughness (1), Defensive Pass Interference (1), Illegal Block Above the Waist (1), Kick Catch Interference (1)",2019
O.Beckham,WR,Cleveland,5,40,0,1,6,3,0.31,2.5,4.92,"False Start (2), Unnecessary Roughness (1), Offensive Pass Interference (1), Illegal Shift (1), Taunting (1)",2019
J.Feliciano,G,Buffalo,6,60,0,0,6,2,0.35,3.53,4.84,"False Start (2), Offensive Holding (2), Unnecessary Roughness (1), Unsportsmanlike Conduct (1)",2019
E.Flowers,T,Washington,5,45,1,0,6,1,0.31,2.81,5.66,"Offensive Holding (3), Illegal Use of Hands (2), False Start (1)",2019
B.Webb,CB,Cincinnati,5,58,1,0,6,0,0.31,3.63,6.45,"Defensive Pass Interference (3), Defensive Holding (2), Lowering the Head to Initiate Contact (1)",2019
M.Golden,LB,N.Y. Giants,6,39,0,0,6,5,0.38,2.44,6.67,"Neutral Zone Infraction (3), Defensive Offside (2), Unnecessary Roughness (1)",2019
D.Samuel,WR,San Francisco,6,55,0,0,6,2,0.32,2.89,5.13,"False Start (2), Face Mask (15 Yards) (1), Offensive Pass Interference (1), Offensive Holding (1), Illegal Block Above the Waist (1)",2019
T.Suggs,OLB,Arizona,6,24,0,0,6,5,0.38,1.5,4.96,"Neutral Zone Infraction (3), Defensive Offside (2), Face Mask (15 Yards) (1)",2019
T.Flowers,LB,Detroit,6,36,0,0,6,1,0.38,2.25,5.31,"Illegal Use of Hands (2), Face Mask (15 Yards) (1), Roughing the Passer (1), Defensive Holding (1), Neutral Zone Infraction (1)",2019
M.Crosby,DL,Las Vegas,6,64,0,0,6,1,0.38,4,4.65,"Roughing the Passer (2), Face Mask (15 Yards) (1), Offensive Holding (1), Defensive Offside (1), Tripping (1)",2019
J.Cook,TE,New Orleans,5,50,1,0,6,0,0.29,2.94,4.76,"Offensive Holding (4), Offensive Pass Interference (1), Illegal Block Above the Waist (1)",2019
J.Brown,G,Atlanta,5,45,1,0,6,1,0.31,2.81,5.04,"Offensive Holding (4), False Start (1), Illegal Block Above the Waist (1)",2019
K.McGary,OL,Atlanta,6,28,0,0,6,6,0.38,1.75,5.04,False Start (6),2019
J.Skule,OL,San Francisco,5,49,1,0,6,0,0.26,2.58,5.13,"Offensive Holding (5), Illegal Blindside Block (1)",2019
C.Edoga,T,N.Y. Jets,5,35,1,0,6,3,0.31,2.19,5.17,"False Start (3), Offensive Holding (1), Illegal Use of Hands (1), Illegal Blindside Block (1)",2019
M.Scharping,OL,Houston,5,30,1,0,6,4,0.28,1.67,4.92,"False Start (4), Offensive Holding (2)",2019
