Name,Position,Team,Penalty Count,Yards,Declined,Offsetting,Total Flags,Pre-Snap,Count per Game,Yards per Game,Percent of Team,Penalty Types,Year
D.Hamlin,DB,Buffalo,2,9,0,1,3,0,0.1,0.45,2.38,"Defensive Pass Interference (2), Unnecessary Roughness (1)",2024
Q.Morris,TE,Buffalo,3,18,0,0,3,2,0.15,0.9,2.38,"False Start (1), Offensive Holding (1), Illegal Formation (1)",2024
B.Christensen,OL,Carolina,3,20,0,0,3,2,0.18,1.18,2.54,"False Start (2), Offensive Holding (1)",2024
T.Tremble,TE,Carolina,2,15,1,0,3,2,0.12,0.88,2.54,"False Start (1), Offensive Holding (1), Offensive Offside (1)",2024
G.Newsome,DB,Cleveland,3,60,0,0,3,0,0.18,3.53,2.52,"Defensive Pass Interference (2), Roughing the Passer (1)",2024
J.Cooper,LB,Denver,3,25,0,0,3,2,0.17,1.39,2.7,"Neutral Zone Infraction (2), Horse Collar Tackle (1)",2024
A.St. Brown,WR,Detroit,2,25,1,0,3,0,0.11,1.39,2.68,"Offensive Pass Interference (1), Offensive Holding (1), Unsportsmanlike Conduct (1)",2024
T.Slaton,DL,Green Bay,3,13,0,0,3,3,0.17,0.72,2.5,"Encroachment (2), Neutral Zone Infraction (1)",2024
J.Myers,OL,Green Bay,3,17,0,0,3,0,0.17,0.94,2.5,"Ineligible Downfield Pass (2), Offensive Holding (1)",2024
N.Collins,WR,Houston,2,25,1,0,3,1,0.11,1.32,2.19,"Unnecessary Roughness (1), Offensive Holding (1), Offensive Offside (1)",2024
T.Campbell,DB,Jacksonville,3,29,0,0,3,0,0.18,1.71,3.03,"Defensive Pass Interference (2), Illegal Use of Hands (1)",2024
L.Farrell,TE,Jacksonville,3,18,0,0,3,2,0.18,1.06,3.03,"False Start (2), Offensive Holding (1)",2024
E.Campbell,DB,Miami,3,15,0,0,3,2,0.18,0.88,2.61,"Unnecessary Roughness (1), Defensive Offside (1), Illegal Formation (1)",2024
R.Stevenson,RB,New England,3,41,0,0,3,0,0.18,2.41,2.68,"Offensive Holding (1), Chop Block (1), Face Mask (1)",2024
M.Williams,DL,Philadelphia,3,16,0,0,3,1,0.14,0.76,2.38,"Roughing the Passer (1), Defensive Offside (1), Defensive Holding (1)",2024
S.Forsythe,OL,Seattle,2,10,1,0,3,3,0.12,0.59,2.5,"False Start (2), Illegal Formation (1)",2024
D.Brown,WR,Washington,3,25,0,0,3,1,0.15,1.25,2.33,"Offensive Holding (2), False Start (1)",2024
B.Browning,LB,Denver,3,16,0,0,3,2,0.17,0.89,2.7,"Defensive Offside (1), Tripping (1), Neutral Zone Infraction (1)",2024
T.Jones,DL,Baltimore,3,25,0,0,3,0,0.16,1.32,2.13,"Roughing the Passer (1), Illegal Use of Hands (1), Defensive Holding (1)",2024
K.Elam,DB,Buffalo,3,16,0,0,3,0,0.15,0.8,2.38,"Defensive Pass Interference (2), Offensive Holding (1)",2024
E.Pineiro,K,Carolina,3,0,0,0,3,0,0.18,0,2.54,Kickoff Short of Landing Zone (3),2024
T.Karras,OL,Cincinnati,2,15,1,0,3,0,0.12,0.88,2.97,"Offensive Holding (2), Ineligible Downfield Pass (1)",2024
A.Cooper,WR,Cleveland,3,25,0,0,3,2,0.18,1.47,2.52,"Illegal Shift (2), Face Mask (1)",2024
