Rank,Name,Team,Position,Games Played,Solo Tackles,Assist Tackles,Total Tackles,Sacks,Sack Yards,Tackles for Loss,Passes Defended,Interceptions,Interception Yards,Long Interception,Interception Touchdowns,Forced Fumbles,Fumbles Recovered,Fumble Touchdowns,Year
1,Bobby Wagner,SEA,LB,16,86,73,159,3.0,16,8,6,1,6,6,0,1,1,0,2019
2,Blake Martinez,GB,LB,16,97,58,155,3.0,20,7,2,1,22,22,0,1,0,0,2019
3,Jordan Hicks,ARI,LB,16,92,57,149,1.5,11,13,6,3,64,48,0,2,1,0,2019
4,Budda Baker,ARI,S,16,104,43,147,0.5,4,10,6,0,0,0,0,1,1,0,2019
5,Luke Kuechly,CAR,LB,16,81,63,144,0.0,0,6,12,2,26,25,0,0,0,0,2019
6,Zach Cunningham,HOU,LB,16,99,43,142,2.0,11,10,2,0,0,0,0,0,2,0,2019
6,Jaylon Smith,DAL,LB,16,83,59,142,2.5,31,8,9,1,0,0,0,2,1,0,2019
8,Todd Davis,DEN,LB,14,78,56,134,0.0,0,6,1,0,0,0,0,0,0,0,2019
8,Cory Littleton,LAR,LB,16,78,56,134,3.5,25,6,9,2,32,26,0,2,4,0,2019
10,Joe Schobert,CLE,LB,16,89,44,133,2.0,19,7,9,4,24,20,0,2,1,0,2019
11,K.J. Wright,SEA,LB,16,67,65,132,0.0,0,7,11,3,10,11,0,0,0,0,2019
12,Eric Reid,CAR,S,16,97,33,130,4.0,15,7,6,0,0,0,0,1,2,0,2019
13,De'Vondre Campbell,ATL,LB,16,75,54,129,2.0,18,8,5,2,-5,0,0,3,1,0,2019
14,Jerome Baker,MIA,LB,16,76,50,126,1.5,13,7,4,1,34,34,0,2,0,0,2019
15,Anthony Walker Jr.,IND,LB,16,84,40,124,2.5,3,8,2,1,0,0,0,1,0,0,2019
16,Lavonte David,TB,LB,16,82,41,123,1.0,14,13,7,1,26,26,0,3,1,0,2019
17,Shaquille Leonard,IND,LB,13,71,50,121,5.0,26,10,7,5,92,80,1,2,0,0,2019
18,Fred Warner,SF,LB,16,89,29,118,3.0,31,9,9,1,46,46,1,3,0,0,2019
19,Landon Collins,WSH,S,15,78,39,117,1.0,9,10,4,0,0,0,0,2,0,0,2019
20,Tremaine Edmunds,BUF,LB,16,66,49,115,1.5,11,12,9,1,0,0,0,0,0,0,2019
21,Shawn Williams,CIN,S,16,80,34,114,1.0,3,6,3,1,12,12,0,0,0,0,2019
22,Logan Ryan,TEN,S,16,73,40,113,4.5,31,7,18,4,16,16,0,4,0,0,2019
23,Thomas Davis Sr.,LAC,LB,16,65,47,112,1.0,5,4,2,0,0,0,0,0,0,0,2019
24,Demario Davis,NO,LB,16,87,24,111,4.0,37,12,12,1,1,1,0,0,0,0,2019
24,Nick Vigil,CIN,LB,16,60,51,111,1.0,0,5,5,1,34,34,0,1,2,0,2019
24,Rashaan Evans,TEN,LB,16,69,42,111,2.5,13,11,0,0,0,0,0,0,1,1,2019
27,Antoine Bethea,NYG,S,16,81,29,110,0.0,0,3,6,1,7,7,0,0,2,0,2019
27,Eric Kendricks,MIN,LB,15,70,40,110,0.5,4,5,12,0,0,0,0,2,2,0,2019
27,Deion Jones,ATL,LB,16,68,42,110,0.0,0,9,5,1,27,27,1,0,1,0,2019
30,Shaq Thompson,CAR,LB,14,75,34,109,3.0,18,11,3,0,0,0,0,0,0,0,2019
30,Devin Bush,PIT,LB,16,72,37,109,1.0,9,10,4,2,6,6,0,1,4,1,2019
32,Eric Weddle,LAR,S,16,69,39,108,0.0,0,2,4,0,0,0,0,0,0,0,2019
32,Tahir Whitehead,OAK,LB,16,79,29,108,0.0,0,7,1,0,0,0,0,0,0,0,2019
34,Jordan Poyer,BUF,S,16,71,36,107,1.0,5,6,3,2,0,0,0,3,3,0,2019
35,Jon Bostic,WSH,LB,16,56,49,105,1.0,0,3,2,1,26,26,0,0,0,0,2019
35,Jayon Brown,TEN,LB,14,69,36,105,1.0,1,3,8,1,0,0,0,0,1,1,2019
35,Cole Holcomb,WSH,LB,16,74,31,105,1.0,6,5,1,0,0,0,0,3,0,0,2019
35,Terrell Edmunds,PIT,S,16,71,34,105,0.0,0,4,3,0,0,0,0,0,0,0,2019
39,Tracy Walker III,DET,S,13,82,21,103,0.0,0,6,8,1,0,0,0,1,0,0,2019
40,Benardrick McKinney,HOU,LB,14,54,47,101,1.0,4,6,3,0,0,0,0,1,2,0,2019
40,Matt Milano,BUF,LB,15,65,36,101,1.5,12,10,9,0,0,0,0,1,1,0,2019
40,Roquan Smith,CHI,LB,12,66,35,101,2.0,21,5,2,1,0,0,0,0,0,0,2019
43,Taylor Rapp,LAR,S,15,62,38,100,0.0,0,5,8,2,54,31,1,0,1,0,2019
44,Jessie Bates III,CIN,S,16,70,29,99,0.0,0,1,9,3,33,20,0,1,1,0,2019
45,Tavon Wilson,DET,S,16,69,29,98,1.0,2,4,5,0,0,0,0,0,2,0,2019
46,Alexander Johnson,DEN,LB,15,51,42,93,1.5,3,7,3,1,0,0,0,2,1,0,2019
46,Justin Simmons,DEN,S,16,65,28,93,0.0,0,3,15,4,30,17,0,0,0,0,2019
48,Dre Greenlaw,SF,LB,16,64,28,92,1.0,19,4,2,1,47,47,0,0,0,0,2019
49,Devin White,TB,LB,13,58,33,91,2.5,24,5,3,1,5,5,0,3,4,2,2019
50,Vonn Bell,NO,S,13,66,23,89,1.5,14,6,5,1,19,19,0,2,5,1,2019
51,Anthony Hitchens,KC,LB,15,51,37,88,2.0,31,6,1,0,0,0,0,1,0,0,2019
52,Sean Lee,DAL,LB,16,55,31,86,1.0,12,5,4,1,25,25,0,0,0,0,2019
53,Harrison Smith,MIN,S,15,65,20,85,1.0,14,5,11,3,13,13,0,3,2,0,2019
53,Ricardo Allen,ATL,S,16,54,31,85,0.0,0,5,8,2,29,27,0,0,0,0,2019
55,Kenny Vaccaro,TEN,S,16,51,33,84,1.0,6,4,5,1,2,2,0,0,0,0,2019
55,Kevin Byard III,TEN,S,16,60,24,84,0.0,0,2,9,5,79,28,0,0,0,0,2019
55,Adrian Amos,GB,S,16,68,16,84,1.0,4,5,8,2,12,9,0,0,0,0,2019
58,Cameron Heyward,PIT,DT,16,51,32,83,9.0,61,15,6,0,0,0,0,1,1,0,2019
59,Mark Barron,PIT,LB,15,58,24,82,3.0,21,5,3,1,0,0,0,0,1,0,2019
59,Kyle Fuller,CHI,CB,16,72,10,82,0.0,0,1,12,3,37,29,0,0,0,0,2019
59,David Mayo,NYG,LB,16,52,30,82,2.0,8,7,2,0,0,0,0,0,1,0,2019
59,Tre Flowers,SEA,CB,15,65,17,82,2.0,11,2,8,3,0,0,0,1,1,0,2019
59,Mack Wilson Sr.,CLE,LB,16,57,25,82,1.0,8,5,7,1,21,21,0,1,0,0,2019
64,Malcolm Jenkins,PHI,S,16,63,18,81,2.5,19,9,8,0,0,0,0,4,1,0,2019
64,Jamie Collins Sr.,NE,LB,16,58,23,81,7.0,54,14,7,3,85,69,1,3,1,0,2019
64,Eric Rowe,MIA,S,16,54,27,81,0.0,0,1,8,1,35,35,1,1,0,0,2019
64,Damien Wilson,KC,LB,16,52,29,81,1.5,9,4,1,0,0,0,0,1,0,0,2019
68,Alec Ogletree,NYG,LB,13,48,32,80,1.0,4,6,6,1,0,0,0,0,0,0,2019
68,James Burgess Jr.,NYJ,LB,10,51,29,80,0.5,5,10,5,1,2,2,0,1,1,0,2019
70,Anthony Barr,MIN,LB,14,54,25,79,1.5,13,7,4,1,2,2,0,1,1,0,2019
70,Jarrod Wilson,JAX,S,16,57,22,79,0.0,0,6,4,2,4,4,0,1,0,0,2019
70,Chidobe Awuzie,DAL,CB,16,48,31,79,0.0,0,1,14,1,0,0,0,0,1,0,2019
73,Ha Ha Clinton-Dix,CHI,S,16,62,16,78,0.0,0,1,5,2,96,59,1,0,2,0,2019
73,Nate Gerry,PHI,LB,16,52,26,78,2.5,12,6,5,2,51,51,1,0,1,0,2019
73,Justin Reid,HOU,S,15,57,21,78,0.0,0,2,5,2,55,37,0,0,1,0,2019
73,Byron Murphy Jr.,ARI,CB,16,66,12,78,0.0,0,2,10,1,0,0,0,0,0,0,2019
77,Xavier Woods,DAL,S,15,52,25,77,0.0,0,2,5,2,38,29,0,2,1,0,2019
78,Rodney McLeod Jr.,PHI,S,16,46,30,76,1.0,0,1,6,2,30,23,0,2,0,0,2019
78,Nick Kwiatkoski,CHI,LB,16,56,20,76,3.0,24,8,4,1,4,4,0,1,0,0,2019
78,Haason Reddick,ARI,DE,16,44,32,76,1.0,0,7,6,0,0,0,0,0,1,0,2019
78,Jabrill Peppers,NYG,S,11,51,25,76,0.0,0,6,5,1,32,32,1,3,0,0,2019
78,Germaine Pratt,CIN,LB,16,50,26,76,0.0,0,4,0,0,0,0,0,0,0,0,2019
78,Sam Hubbard,CIN,DE,15,46,30,76,8.5,56,11,3,0,0,0,0,1,0,0,2019
78,Levi Wallace,BUF,CB,16,66,10,76,0.0,0,4,9,2,2,2,0,0,0,0,2019
85,Tyrann Mathieu,KC,S,16,63,12,75,2.0,14,4,12,4,70,35,0,0,0,0,2019
85,Neville Hewitt,NYJ,LB,12,44,31,75,3.0,18,6,5,2,13,9,0,0,0,0,2019
85,Jamal Adams,NYJ,S,14,61,14,75,6.5,45,14,7,1,61,61,1,2,1,1,2019
85,Davon Godchaux,MIA,DT,16,33,42,75,2.0,9,5,1,0,0,0,0,0,0,0,2019
85,Drue Tranquill,LAC,LB,15,61,14,75,0.0,0,4,1,0,0,0,0,0,0,0,2019
90,Damontae Kazee,ATL,S,16,46,28,74,0.0,0,2,3,3,53,22,0,1,0,0,2019
90,Erik Harris,OAK,S,16,64,10,74,0.0,0,2,8,3,145,59,2,0,0,0,2019
90,Charvarius Ward,KC,CB,16,56,18,74,0.0,0,0,10,2,10,10,0,1,0,0,2019
93,Chuck Clark,BAL,S,16,45,28,73,1.0,8,4,9,1,12,12,0,2,0,0,2019
93,Nicholas Morrow,OAK,LB,16,53,20,73,0.0,0,4,4,1,11,11,0,0,0,0,2019
95,Micah Hyde,BUF,S,16,50,22,72,0.0,0,2,2,1,0,0,0,2,1,0,2019
95,Markus Golden,NYG,LB,16,37,35,72,10.0,71,18,0,0,0,0,0,0,1,1,2019
95,Raekwon McMillan,MIA,LB,13,35,37,72,0.0,0,2,1,0,0,0,0,0,0,0,2019
95,Leighton Vander Esch,DAL,LB,9,43,29,72,0.5,2,4,3,0,0,0,0,1,0,0,2019
99,Kareem Jackson,DEN,S,13,48,23,71,0.0,0,5,10,2,28,24,0,1,0,1,2019
99,Dont'a Hightower,NE,LB,15,47,24,71,5.5,42,10,4,0,0,0,0,0,1,1,2019
99,Mychal Kendricks,SEA,LB,14,47,24,71,3.0,24,9,4,1,1,1,0,1,0,0,2019
99,Ronnie Harrison Jr.,JAX,S,14,44,27,71,2.0,6,3,9,2,66,35,0,0,1,0,2019
99,Khari Willis,IND,S,14,53,18,71,0.0,0,3,1,0,0,0,0,0,0,0,2019
104,Danny Trevathan,CHI,LB,9,50,20,70,1.0,11,3,1,0,0,0,0,1,0,0,2019
104,Bradley McDougald,SEA,S,15,52,18,70,0.5,3,2,6,2,0,0,0,1,1,0,2019
104,Danielle Hunter,MIN,DE,16,52,18,70,14.5,113,18,0,0,0,0,0,3,1,0,2019
107,A.J. Klein,NO,LB,15,47,22,69,2.5,12,6,2,1,14,14,1,1,1,0,2019
107,Grady Jarrett,ATL,DE,16,38,31,69,7.5,49,17,0,0,0,0,0,2,0,0,2019
107,Jordan Whitehead,TB,S,14,50,19,69,0.0,0,5,9,1,11,11,0,0,1,0,2019
111,Rashaan Melvin,DET,CB,13,59,9,68,0.0,0,0,11,0,0,0,0,0,0,0,2019
111,Tre Boston,CAR,S,16,53,15,68,0.0,0,1,11,3,20,20,0,0,0,0,2019
111,Bud Dupree,PIT,LB,16,49,19,68,11.5,57,20,3,0,0,0,0,4,2,0,2019
111,Denzel Perryman,LAC,LB,14,50,18,68,0.0,0,5,1,1,0,0,0,1,0,0,2019
111,Jonathan Allen,WSH,DT,15,46,22,68,6.0,41,9,1,0,0,0,0,0,1,0,2019
111,Harold Landry III,TEN,LB,16,43,25,68,9.0,53,14,1,1,0,0,0,1,2,0,2019
117,Joey Bosa,LAC,LB,16,47,20,67,11.5,78,20,0,0,0,0,0,1,0,0,2019
118,Myles Jack,JAX,LB,11,42,24,66,0.5,4,4,4,1,14,14,0,0,0,0,2019
118,Kevin King,GB,CB,15,56,10,66,1.0,2,4,15,5,54,39,0,1,0,0,2019
120,Joe Haden,PIT,CB,16,59,6,65,0.0,0,3,17,5,20,16,0,1,1,0,2019
120,A.J. Bouye,JAX,CB,14,50,15,65,0.0,0,2,8,1,25,25,0,0,0,0,2019
120,Jimmie Ward,SF,S,13,51,14,65,1.0,0,3,8,0,0,0,0,0,0,0,2019
120,James Bradberry IV,CAR,CB,15,51,14,65,1.0,3,1,12,3,0,0,0,0,0,0,2019
120,Marcus Maye,NYJ,S,16,50,15,65,0.0,0,1,7,1,0,0,0,0,0,0,2019
120,Mike Hilton,PIT,CB,16,52,13,65,1.5,10,6,11,1,1,1,0,1,1,0,2019
120,Joe Walker,ARI,LB,16,41,24,65,0.0,0,6,0,0,0,0,0,1,0,0,2019
120,Shaquill Griffin,SEA,CB,14,45,20,65,0.0,0,2,13,0,0,0,0,0,0,0,2019
120,Bobby Okereke,IND,LB,16,48,17,65,1.0,12,4,2,0,0,0,0,2,1,0,2019
120,Marlon Humphrey,BAL,CB,16,53,12,65,0.0,0,5,14,3,14,14,0,2,3,2,2019
130,Patrick Onwuasor,BAL,LB,14,48,16,64,3.0,23,5,1,0,0,0,0,1,0,0,2019
130,Matt Ioannidis,WSH,DT,16,42,22,64,8.5,48,12,1,0,0,0,0,0,0,0,2019
132,Carlos Dunlap,CIN,DE,14,39,24,63,9.0,63,17,8,0,0,0,0,2,0,0,2019
132,Michael Brockers,LAR,DE,16,34,29,63,3.0,20,6,1,0,0,0,0,0,0,0,2019
132,Xavier Rhodes,MIN,CB,15,54,9,63,0.0,0,5,6,0,0,0,0,1,0,0,2019
132,Jeff Heath,DAL,S,13,41,22,63,0.0,0,4,7,0,0,0,0,0,0,0,2019
132,Darryl Roberts,NYJ,CB,13,58,5,63,0.0,0,2,6,1,13,13,0,0,0,0,2019
132,Jarrad Davis,DET,LB,11,38,25,63,2.0,25,6,1,0,0,0,0,3,1,0,2019
138,Sheldon Richardson,CLE,DT,16,43,19,62,3.0,17,6,4,0,0,0,0,3,0,0,2019
138,Ross Cockrell,CAR,CB,14,48,14,62,0.0,0,3,8,2,70,37,0,0,0,0,2019
138,DeForest Buckner,SF,DT,16,34,28,62,7.5,47,12,2,0,0,0,0,2,4,1,2019
138,Eric Wilson,MIN,LB,16,36,26,62,3.0,24,6,0,0,0,0,0,0,0,0,2019
138,Kenny Clark,GB,DT,16,31,31,62,6.0,36,11,1,0,0,0,0,1,0,0,2019
138,Montae Nicholson,WSH,S,13,45,17,62,0.0,0,1,4,2,23,23,0,0,2,0,2019
138,Rock Ya-Sin,IND,CB,15,54,8,62,0.0,0,2,5,1,0,0,0,0,1,0,2019
138,Isaiah Oliver,ATL,CB,16,50,12,62,0.0,0,0,11,0,0,0,0,1,0,0,2019
146,Richard Sherman,SF,CB,15,48,13,61,0.0,0,2,11,3,65,31,1,0,0,0,2019
146,Lawrence Guy,NE,DT,16,35,26,61,3.0,21,6,1,1,5,5,0,0,2,0,2019
146,Nigel Bradham,PHI,LB,12,32,29,61,0.0,0,2,5,1,22,22,0,0,1,1,2019
146,Danny Shelton,NE,DT,16,30,31,61,3.0,24,4,0,0,0,0,0,1,0,0,2019
146,Damarious Randall,CLE,CB,11,45,16,61,2.5,13,4,6,0,0,0,0,0,0,0,2019
146,Steven Nelson,PIT,CB,15,52,9,61,0.0,0,0,8,1,33,33,0,0,1,0,2019
146,Donald Payne,JAX,LB,9,36,25,61,1.0,9,3,1,0,0,0,0,0,1,0,2019
146,Foyesade Oluokun,ATL,LB,16,35,26,61,0.0,0,2,0,0,0,0,0,1,0,0,2019
146,DeAndre Baker,NYG,CB,16,48,13,61,0.0,0,2,8,0,0,0,0,0,0,0,2019
146,Kenny Moore II,IND,CB,11,50,11,61,2.5,15,5,3,2,36,35,0,0,1,0,2019
158,Anthony Harris,MIN,S,14,35,25,60,0.0,0,1,11,6,42,20,1,0,1,0,2019
158,Javon Hargrave,PIT,DT,16,35,25,60,4.0,20,6,0,0,0,0,0,1,0,0,2019
158,Eddie Jackson,CHI,S,16,51,9,60,1.0,1,6,5,2,18,14,0,1,1,0,2019
158,Carlton Davis III,TB,CB,14,54,6,60,0.0,0,3,19,1,0,0,0,1,1,0,2019
162,Vince Biegel,MIA,LB,15,27,32,59,2.5,18,6,1,1,7,7,0,0,0,0,2019
162,Brian Poole,NYJ,CB,14,48,11,59,0.0,0,5,5,1,15,15,1,1,0,0,2019
164,Devin McCourty,NE,S,16,46,12,58,0.0,0,2,7,5,49,24,0,2,1,0,2019
164,Devon Kennard,DET,LB,16,45,13,58,7.0,39,9,0,0,0,0,0,1,2,1,2019
164,Shaquil Barrett,TB,LB,16,45,13,58,19.5,138,23,2,1,4,4,0,6,0,0,2019
164,Trae Waynes,MIN,CB,14,56,2,58,0.0,0,4,8,1,0,0,0,2,1,0,2019
164,Dante Fowler Jr.,LAR,LB,16,40,18,58,11.5,84,18,6,0,0,0,0,2,1,1,2019
164,Eli Apple,NO,CB,15,53,5,58,0.0,0,0,4,0,0,0,0,1,0,0,2019
164,Daryl Worley,OAK,CB,15,51,7,58,0.0,0,1,8,1,0,0,0,0,1,0,2019
164,Tre'Davious White,BUF,CB,15,48,10,58,1.0,9,5,17,6,57,49,0,2,0,0,2019
164,Troy Reeder,LAR,LB,16,36,22,58,0.0,0,1,0,0,0,0,0,2,0,0,2019
164,Jahlani Tavai,DET,LB,15,37,21,58,2.0,19,6,2,1,2,2,0,1,0,0,2019
164,Jamal Perry,MIA,CB,14,39,19,58,0.0,0,3,6,1,0,0,0,0,0,0,2019
164,Jaire Alexander,GB,CB,16,50,8,58,0.0,0,3,17,2,37,37,0,1,1,0,2019
164,Juan Thornhill,KC,S,16,42,16,58,0.0,0,0,5,3,46,46,1,0,0,0,2019
177,Daniel Sorensen,KC,S,16,44,13,57,0.0,0,2,4,2,6,6,0,0,0,0,2019
177,Marshon Lattimore,NO,CB,14,46,11,57,0.0,0,1,14,1,0,0,0,0,0,0,2019
177,Jalen Thompson,ARI,S,15,45,12,57,0.0,0,0,3,1,18,18,0,0,1,0,2019
180,Calais Campbell,JAX,DT,16,37,19,56,6.5,47,13,1,0,0,0,0,2,1,1,2019
180,Chris Harris Jr.,DEN,CB,16,44,12,56,0.0,0,1,6,1,11,11,0,1,0,0,2019
180,Kyle Van Noy,NE,LB,15,41,15,56,6.5,42,9,3,0,0,0,0,3,2,1,2019
180,Tyeler Davison,ATL,DT,16,26,30,56,1.0,2,5,0,0,0,0,0,0,1,0,2019
180,Preston Smith,GB,LB,16,36,20,56,12.0,88,13,4,1,5,5,0,1,0,0,2019
180,Ben Niemann,KC,LB,16,35,21,56,0.0,0,1,1,0,0,0,0,0,0,0,2019
180,Christian Wilkins,MIA,DT,16,30,26,56,2.0,14,4,2,0,0,0,0,0,0,0,2019
180,Daron Payne,WSH,DT,15,32,24,56,2.0,11,3,2,0,0,0,0,0,0,0,2019
188,Lorenzo Alexander,BUF,LB,16,35,20,55,2.0,13,5,9,0,0,0,0,1,0,0,2019
188,Vince Williams,PIT,LB,14,28,27,55,2.5,18,8,1,0,0,0,0,0,0,0,2019
188,Za'Darius Smith,GB,DE,16,41,14,55,13.5,112,19,0,0,0,0,0,1,0,0,2019
188,T.J. Watt,PIT,LB,16,35,20,55,14.5,104,23,8,2,7,7,0,8,4,0,2019
188,Tre Herndon,JAX,CB,16,42,13,55,0.0,0,1,13,3,0,0,0,0,0,0,2019
188,Marcus Williams,NO,S,15,40,15,55,0.0,0,1,13,4,56,55,1,1,0,0,2019
188,Darnell Savage,GB,S,14,42,13,55,0.0,0,2,5,2,37,28,0,2,0,0,2019
196,Clayton Geathers,IND,S,15,40,14,54,0.0,0,1,1,1,0,0,0,0,0,0,2019
196,Justin Coleman,DET,CB,16,47,7,54,0.0,0,0,13,1,55,55,0,3,1,0,2019
196,Rayshawn Jenkins,LAC,S,16,34,20,54,0.0,0,1,4,3,10,8,0,0,0,0,2019
196,Arik Armstead,SF,DE,16,32,22,54,10.0,73,14,2,0,0,0,0,2,1,0,2019
196,Nik Needham,MIA,CB,12,41,13,54,1.0,7,1,11,2,23,23,0,1,0,0,2019
196,Matthew Judon,BAL,LB,16,43,11,54,9.5,85,18,0,0,0,0,0,4,0,0,2019
202,Cameron Jordan,NO,DE,16,37,16,53,15.5,98,18,3,0,0,0,0,0,1,0,2019
202,Prince Amukamara,CHI,CB,15,44,9,53,0.0,0,1,10,0,0,0,0,1,1,0,2019
202,Patrick Peterson,ARI,CB,10,46,7,53,1.0,13,3,7,2,0,0,0,1,0,0,2019
202,Chandler Jones,ARI,DE,16,41,12,53,19.0,146,20,5,0,0,0,0,8,3,0,2019
202,Stephon Gilmore,NE,CB,16,44,9,53,0.0,0,0,20,6,126,64,2,0,1,0,2019
202,Jonathan Jones,NE,CB,15,38,15,53,0.0,0,0,8,0,0,0,0,2,0,0,2019
209,T.J. Carrie,CLE,CB,16,40,12,52,1.0,3,4,4,1,0,0,0,1,1,0,2019
209,DJ Reader,HOU,DT,15,28,24,52,2.5,17,6,0,0,0,0,0,0,0,0,2019
211,Johnathan Joseph,HOU,CB,14,43,8,51,0.0,0,0,13,1,0,0,0,0,0,0,2019
211,Patrick Chung,NE,S,13,38,13,51,0.0,0,1,3,0,0,0,0,0,0,0,2019
211,Tashaun Gipson Sr.,HOU,S,14,37,14,51,0.0,0,2,8,3,105,79,1,0,0,0,2019
211,Christian Jones,DET,LB,13,29,22,51,2.0,6,2,4,0,0,0,0,0,1,0,2019
211,K'Waun Williams,SF,CB,15,35,16,51,1.0,10,5,2,2,53,49,0,4,0,0,2019
211,Trey Flowers,DET,DE,15,33,18,51,7.0,56,10,0,0,0,0,0,2,0,0,2019
211,Brennan Scarlett,HOU,LB,15,31,20,51,3.5,7,4,1,0,0,0,0,2,0,0,2019
211,Desmond King II,LAC,CB,15,40,11,51,2.5,14,6,2,0,0,0,0,1,1,0,2019
211,Jourdan Lewis,DAL,CB,16,38,13,51,4.0,33,4,6,2,20,20,0,0,1,1,2019
211,John Johnson III,LAR,S,6,24,27,51,0.0,0,2,2,2,0,0,0,0,0,0,2019
211,Malik Hooker,IND,S,13,30,21,51,0.0,0,2,3,2,39,26,0,0,1,0,2019
222,Brandon Graham,PHI,DE,16,35,15,50,8.5,43,17,0,0,0,0,0,1,2,0,2019
222,Johnathan Hankins,OAK,DT,16,28,22,50,1.5,7,10,1,0,0,0,0,0,0,0,2019
222,Pierre Desir,IND,CB,12,38,12,50,0.0,0,1,11,3,0,0,0,0,0,0,2019
222,Larry Ogunjobi,CLE,DT,15,35,15,50,5.5,40,10,1,0,0,0,0,0,0,0,2019
222,Emmanuel Moseley,SF,CB,16,42,8,50,0.0,0,2,8,1,3,3,0,0,0,0,2019
222,Taron Johnson,BUF,CB,12,39,11,50,1.0,7,2,5,0,0,0,0,1,0,0,2019
222,Montez Sweat,WSH,DE,16,31,19,50,7.0,37,12,2,0,0,0,0,2,0,0,2019
222,Trayvon Mullen,OAK,CB,16,42,8,50,0.0,0,0,10,1,0,0,0,0,0,0,2019
234,Brandon Carr,BAL,CB,16,41,8,49,2.0,14,4,6,0,0,0,0,0,0,0,2019
234,Earl Thomas III,BAL,S,15,32,17,49,2.0,12,4,4,2,38,24,0,1,1,0,2019
234,Damon Harrison Sr.,DET,DT,15,29,20,49,2.0,13,4,3,0,0,0,0,0,0,0,2019
234,Lamarcus Joyner,OAK,S,14,41,8,49,0.0,0,3,3,0,0,0,0,0,0,0,2019
234,Shelby Harris,DEN,DT,16,28,21,49,6.0,33,9,9,0,0,0,0,1,0,0,2019
234,Karl Joseph,OAK,S,9,38,11,49,0.0,0,4,3,1,0,0,0,0,1,0,2019
234,Dalvin Tomlinson,NYG,DT,16,23,26,49,3.5,24,9,0,0,0,0,0,1,0,0,2019
234,Kendall Fuller,KC,CB,11,34,15,49,1.0,7,3,2,0,0,0,0,0,0,0,2019
234,Shaun Dion Hamilton,WSH,LB,16,37,12,49,1.0,0,4,2,1,0,0,0,1,1,0,2019
234,C.J. Gardner-Johnson,NO,S,16,38,11,49,0.0,0,7,8,1,28,28,0,1,1,0,2019
244,Buster Skrine,CHI,CB,16,39,9,48,0.0,0,2,5,0,0,0,0,2,0,0,2019
244,Melvin Ingram,LAC,LB,13,39,9,48,7.0,42,12,5,1,9,9,0,0,1,0,2019
244,Whitney Mercilus,HOU,LB,16,33,15,48,7.5,44,14,2,2,88,86,0,4,1,0,2019
244,Mike Purcell,DEN,DT,13,28,20,48,0.0,0,9,0,0,0,0,0,0,0,0,2019
244,Aaron Donald,LAR,DT,16,29,19,48,12.5,69,24,2,0,0,0,0,2,1,0,2019
244,Bashaud Breeland,KC,CB,16,37,11,48,0.0,0,0,8,2,4,4,0,0,2,1,2019
244,Jaquiski Tartt,SF,S,12,34,14,48,0.5,2,3,2,0,0,0,0,1,2,0,2019
244,Samson Ebukam,LAR,DE,16,26,22,48,4.5,32,9,4,0,0,0,0,1,2,0,2019
244,Quincy Williams,JAX,LB,11,30,18,48,0.0,0,2,0,0,0,0,0,0,0,0,2019
244,Derrick Nnadi,KC,DT,16,18,30,48,1.0,1,5,1,1,0,0,0,1,0,0,2019
254,Geno Atkins,CIN,DT,16,18,29,47,4.5,23,7,0,0,0,0,0,0,0,0,2019
254,Michael Thomas,NYG,S,16,33,14,47,0.0,0,3,3,0,0,0,0,0,0,0,2019
254,Khalil Mack,CHI,LB,16,40,7,47,8.5,80,13,4,0,0,0,0,5,1,0,2019
254,Dean Lowry,GB,DT,16,23,24,47,0.0,0,3,3,1,7,7,0,0,1,0,2019
254,Avonte Maddox,PHI,CB,12,38,9,47,1.0,10,3,10,0,8,8,0,1,0,0,2019
254,Maxx Crosby,OAK,DE,16,36,11,47,10.0,69,19,4,0,0,0,0,4,0,0,2019
254,Greedy Williams,CLE,CB,12,37,10,47,0.0,0,3,2,0,0,0,0,0,0,0,2019
254,Nick Bosa,SF,DE,16,32,15,47,9.0,77,17,2,1,46,46,0,1,2,0,2019
262,Von Miller,DEN,LB,15,33,13,46,8.0,32,11,2,0,0,0,0,0,0,0,2019
262,Josh Bynes,BAL,LB,12,23,23,46,1.0,0,7,4,2,7,6,0,0,0,0,2019
262,Darius Slay Jr.,DET,CB,14,36,10,46,0.0,0,0,13,2,19,19,0,0,1,0,2019
262,Byron Jones,DAL,CB,15,36,10,46,0.0,0,0,6,0,0,0,0,1,0,0,2019
262,Andrew Adams,TB,S,14,41,5,46,0.0,0,3,3,1,21,21,0,1,0,0,2019
262,Kendall Sheffield,ATL,CB,16,33,13,46,0.0,0,0,3,0,0,0,0,1,0,0,2019
270,Jahleel Addae,HOU,S,16,35,10,45,0.0,0,0,3,2,5,4,0,0,0,0,2019
270,DeMarcus Lawrence,DAL,DE,16,30,15,45,5.0,24,13,2,0,0,0,0,2,2,0,2019
270,Darian Thompson,DAL,S,15,24,21,45,1.5,9,4,3,0,0,0,0,0,1,0,2019
270,Adoree' Jackson,TEN,CB,11,39,6,45,0.0,0,3,6,0,0,0,0,0,0,0,2019
270,Lorenzo Carter,NYG,LB,15,25,20,45,4.5,19,8,5,0,0,0,0,1,0,0,2019
270,Mike Edwards,TB,S,15,33,12,45,1.0,9,4,6,0,0,0,0,0,1,0,2019
